12/03/2024 13:37:46:174  INFO - Node Entry | session id:sess6232314 | QatarIVR_UAT_New:Transfer-checkVbselfserve | Framework | Transfer-checkVbselfserve |  |  | undefined
12/03/2024 13:37:46:235  INFO - Node Entry | session id:sess6232314 | QatarIVR_UAT_New:Transfer-getTransferVDN | Framework | Transfer-getTransferVDN |  |  | undefined
12/03/2024 13:37:46:297  INFO - Node Entry | session id:sess6232314 | QatarIVR_UAT_New:Transfer-Error | Framework | Transfer-Error |  |  | undefined
12/03/2024 13:37:46:359  INFO - Node Entry | session id:sess6232314 | QatarIVR_UAT_New:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
12/03/2024 13:37:46:420  INFO - Node Entry | session id:sess6232314 | QatarIVR_UAT_New:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
12/03/2024 13:37:46:482  INFO - Node Entry | session id:sess6232314 | QatarIVR_UAT_New:Disconnect | Framework | Disconnect |  |  | undefined
12/03/2024 13:37:46:543  INFO - Node Entry | session id:sess6232314 | QatarIVR_UAT_New:CallDisconnect | Framework | CallDisconnect |  |  | undefined
12/03/2024 13:37:46:605  INFO - Node Entry | session id:sess6232314 | QatarIVR_UAT_New:Exit | Framework | Exit |  | ^^0^0 | undefined
12/03/2024 13:37:46:606  INFO - Application Exit | session id:sess6232314 | QatarIVR_UAT_New:Exit | Framework | Application Exiting |  |  | undefined
12/03/2024 13:39:51:021  INFO - Node Entry | session id:sess5287699 | QatarIVR_UAT_New:Start | Framework | Start |  |  | 
12/03/2024 13:39:51:270  INFO - Node Entry | session id:sess5287699 | QatarIVR_UAT_New:LoadInitValues | Framework | LoadInitValues |  |  | undefined
12/03/2024 13:39:51:562  INFO - Node Entry | session id:sess5287699 | QatarIVR_UAT_New:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
12/03/2024 13:39:51:626  INFO - Node Entry | session id:sess5287699 | QatarIVR_UAT_New:SetTechDiffPrompt | Framework | SetTechDiffPrompt |  |  | undefined
