07/02/2024 08:39:45:499  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:connectback-preProcessor | Framework | connectback-preProcessor |  |  | undefined
07/02/2024 08:39:45:549  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:connectback-getUUIValues | Framework | connectback-getUUIValues |  |  | undefined
07/02/2024 08:39:45:637  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:connectback-getPNR | Framework | connectback-getPNR |  |  | undefined
07/02/2024 08:39:45:804  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:connectback-getCustDetails | Framework | connectback-getCustDetails |  |  | undefined
07/02/2024 08:39:46:019  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:connectback-Enroll | Framework | connectback-Enroll |  |  | undefined
07/02/2024 08:39:46:070  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:Enrollment-Begin | Framework | Enrollment-Begin |  |  | undefined
07/02/2024 08:39:46:122  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:Enrollment-preProcessor | Framework | Enrollment-preProcessor |  |  | undefined
07/02/2024 08:39:46:175  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:Enrollment-consentAnnouncement | Framework | Enrollment-consentAnnouncement |  |  | undefined
07/02/2024 08:39:46:237  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:Enrollment-consentMenu | Framework | Enrollment-consentMenu |  |  | undefined
07/02/2024 08:39:47:885  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:ConDisconnectHangup | Framework | ConDisconnectHangup |  |  | undefined
07/02/2024 08:39:47:935  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
07/02/2024 08:39:47:988  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
07/02/2024 08:39:48:125  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:Disconnect | Framework | Disconnect |  |  | undefined
07/02/2024 08:39:48:178  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:CallDisconnect | Framework | CallDisconnect |  |  | undefined
07/02/2024 08:39:48:231  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:Exit | Framework | Exit |  | ^^0^0 | undefined
07/02/2024 08:39:48:231  INFO - Application Exit | session id:sess9044889 | QatarIVR_UAT:Exit | Framework | Application Exiting |  |  | undefined
07/02/2024 08:46:49:024  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:Start | Framework | Start |  |  | 
07/02/2024 08:46:49:094  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:LoadInitValues | Framework | LoadInitValues |  |  | undefined
07/02/2024 08:46:49:946  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
07/02/2024 08:46:50:000  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:DynamicData | Framework | DynamicData |  |  | undefined
07/02/2024 08:46:50:053  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
07/02/2024 08:46:50:110  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
07/02/2024 08:46:50:162  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:SFConnectBack | Framework | SFConnectBack |  |  | undefined
07/02/2024 08:46:50:214  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:connectback-Begin | Framework | connectback-Begin |  |  | undefined
07/02/2024 08:46:50:266  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:connectback-preProcessor | Framework | connectback-preProcessor |  |  | undefined
07/02/2024 08:46:50:322  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:connectback-getUUIValues | Framework | connectback-getUUIValues |  |  | undefined
07/02/2024 08:46:50:427  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:connectback-getPNR | Framework | connectback-getPNR |  |  | undefined
07/02/2024 08:46:50:953  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:connectback-getCustDetails | Framework | connectback-getCustDetails |  |  | undefined
07/02/2024 08:46:51:119  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:connectback-Enroll | Framework | connectback-Enroll |  |  | undefined
07/02/2024 08:46:51:171  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:Enrollment-Begin | Framework | Enrollment-Begin |  |  | undefined
07/02/2024 08:46:51:222  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:Enrollment-preProcessor | Framework | Enrollment-preProcessor |  |  | undefined
07/02/2024 08:46:51:278  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:Enrollment-consentAnnouncement | Framework | Enrollment-consentAnnouncement |  |  | undefined
07/02/2024 08:46:51:352  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:Enrollment-consentMenu | Framework | Enrollment-consentMenu |  |  | undefined
07/02/2024 08:46:53:011  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:ConDisconnectHangup | Framework | ConDisconnectHangup |  |  | undefined
07/02/2024 08:46:53:063  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
07/02/2024 08:46:53:119  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
07/02/2024 08:46:53:251  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:Disconnect | Framework | Disconnect |  |  | undefined
07/02/2024 08:46:53:314  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:CallDisconnect | Framework | CallDisconnect |  |  | undefined
07/02/2024 08:46:53:378  INFO - Node Entry | session id:sess9385984 | QatarIVR_UAT:Exit | Framework | Exit |  | ^^0^0 | undefined
07/02/2024 08:46:53:379  INFO - Application Exit | session id:sess9385984 | QatarIVR_UAT:Exit | Framework | Application Exiting |  |  | undefined
07/02/2024 08:47:01:776  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:Start | Framework | Start |  |  | 
